"North" "South" "Total"
"240" 56.2 78 134.2
"241" 61.4 75.4 136.8
"242" 84.8 113 197.8
"243" 81.6 71 152.6
"244" 83.6 67.3 150.8
"245" 72.9 49.8 122.7
"246" 85.1 54.5 139.6
"247" 73.4 69.2 142.6
"248" 105.5 64.8 170.3
"249" 71 95.8 166.8
"250" 87.4 55.5 142.8
"251" 96.3 66.3 162.6
"252" 81.5 47.6 129.1
"253" 89.5 24.4 113.9
"254" 68.3 17.2 85.5
"255" 57.2 40.8 98
"256" 67.8 49.8 117.7
"257" 80.5 44.8 125.3
"258" 58.8 28 86.8
"259" 56 33.3 89.3
"260" 48.4 50.6 99
"261" 36.1 23.2 59.3
"262" 25.4 37.4 62.8
"263" 33.3 22.3 55.6
"264" 35 24.6 59.7
"265" 32.2 17.8 50
"266" 34 14.9 48.9
"267" 29.5 14.9 44.4
"268" 46.2 45.2 91.5
"269" 64.4 31.1 95.6
"270" 49.3 37 86.3
"271" 23.1 38.7 61.8
"272" 33.9 36.5 70.4
"273" 56.8 18.8 75.6
"274" 23.1 22.7 45.8
"275" 32.3 20.5 52.8
"276" 25.3 11.2 36.5
"277" 26.4 9.2 35.6
"278" 5.4 13.9 19.4
"279" 2.3 15.9 18.1
"280" 17.7 10.2 27.9
"281" 4.3 15.5 19.8
"282" 12.5 22.2 34.7
"283" 9.9 23.8 33.7
"284" 28.3 23.8 52.1
"285" 12.2 15.3 27.5
"286" 17.1 4.2 21.2
"287" 16.1 5.2 21.3
"288" 15.8 13.9 29.7
"289" 15.3 9.4 24.7
"290" 4.1 0.7 4.8
"291" 3.5 2.7 6.1
"292" 18.4 6.5 24.9
"293" 12.6 0 12.6
"294" 13.3 5.2 18.5
"295" 0 5.8 5.8
"296" 19.4 4.1 23.5
"297" 12.1 4.5 16.7
"298" 0.7 7.3 8
"299" 0 1.9 1.9
"300" 0 1.6 1.6
"301" 0.7 0.3 1
"302" 0.4 0 0.4
"303" 0.6 10.2 10.8
"304" 0 2.8 2.8
"305" 1 0 1
"306" 0 0 0
"307" 3.8 0 3.8
"308" 3.9 5 8.9
"309" 0.8 0.3 1.1
"310" 4.9 2.8 7.7
"311" 4.7 4.9 9.5
"312" 5.4 1.4 6.8
"313" 16.1 8.2 24.3
"314" 16.1 4.1 20.1
"315" 3.8 2.8 6.6
"316" 10.6 2.6 13.1
"317" 21.9 4.3 26.2
"318" 9.9 11 20.9
"319" 17.8 8.3 26.2
"320" 27.8 14.9 42.8
"321" 26.4 20.1 46.5
"322" 37.7 20.4 58.1
"323" 49.8 33.9 83.7
"324" 45.3 26 71.3
"325" 33.1 26.8 60
"326" 69.5 34.2 103.7
"327" 69 47.6 116.6
"328" 73.5 47.3 120.8
"329" 61.6 62 123.6
"330" 57.8 47.3 105.1
"331" 71.6 44.3 115.9
"332" 87 63.5 150.5
"333" 74.4 72.1 146.5
"334" 67.1 65.7 132.8
"335" 65.3 113 178.3
"336" 70 75.8 145.8
"337" 59.1 67.7 126.7
"338" 41.2 59 100.2
"339" 48 79 127
"340" 57.1 83.3 140.4
"341" 63.5 89.9 153.3
"342" 64.2 96.6 160.8
"343" 90.2 74.6 164.8
"344" 80.9 61.8 142.8
"345" 147.1 59.1 206.2
"346" 130.5 97.3 227.8
"347" 100.8 104.3 205.1
"348" 105.3 110.4 215.7
"349" 96.3 88 184.3
"350" 58.5 81.6 140.1
"351" 97.7 67.6 165.3
"352" 105.9 71.6 177.5
"353" 86.8 72.7 159.5
"354" 102.8 59.4 162.2
"355" 109 76.4 185.5
"356" 110.4 96.1 206.4
"357" 96.2 113.6 209.8
"358" 69.8 89 158.8
