"North" "South" "Total"
"943" 0 5.63 5.63
"944" 0.5 7 7.5
"945" 0.87 1.73 2.6
"946" 0 1.42 1.42
"947" 2.25 0 2.25
"948" 1.5 11.77 13.27
"949" 1.05 4.32 5.36
"950" 0 1.65 1.65
"951" 0 11.29 11.29
"952" 1.35 3 4.35
"953" 2.5 1.57 4.07
"954" 0 4.93 4.93
"955" 0 0.92 0.92
"956" 0 0 0
"957" 0.93 0 0.93
"958" 3.62 1.57 5.19
"959" 5.24 0 5.24
"960" 0 0.96 0.96
"961" 1.95 0.58 2.53
"962" 0 0.61 0.61
"963" 0.57 0.57 1.14
"964" 0 1.04 1.04
"965" 2.44 0.69 3.13
"966" 2.92 1.92 4.83
"967" 0 1.4 1.4
"968" 0 0 0
"969" 4.73 2.2 6.93
"970" 4.78 0 4.78
"971" 4.69 0 4.69
"972" 8.38 5.35 13.73
"973" 8.11 6.96 15.07
"974" 14.6 7.33 21.93
"975" 15.17 4.61 19.78
"976" 5.71 2.76 8.47
"977" 7.24 5.48 12.71
"978" 9.33 9.56 18.89
"979" 7.95 10.24 18.19
"980" 23.26 3.35 26.61
"981" 17.76 16.05 33.81
"982" 12.47 10.29 22.76
"983" 18.95 12.23 31.18
"984" 18.32 2.72 21.04
"985" 17.21 8.55 25.76
"986" 20.05 15.24 35.29
"987" 39.04 23.67 62.71
"988" 44.9 15.1 60
"989" 26.64 23.93 50.57
"990" 32.08 19.67 51.75
"991" 34.47 17.11 51.58
"992" 39.77 11.77 51.55
"993" 68 23.33 91.33
"994" 66.79 29.53 96.32
"995" 76.79 32.05 108.84
"996" 40.91 43.3 84.22
"997" 46.9 23.67 70.57
"998" 32.57 12.16 44.73
"999" 35.21 30.21 65.42
"1000" 29.37 22.58 51.95
"1001" 45.65 34.04 79.7
"1002" 28.53 48.93 77.47
"1003" 16.4 58.8 75.2
"1004" 39.45 39.66 79.1
"1005" 33.58 42.63 76.21
"1006" 31.15 33.42 64.58
"1007" 42.2 30.05 72.25
"1008" 33.43 10.26 43.7
