"PREF_CODE"	"over100"
1	42.42
2	31.18
3	44.06
4	31.2
5	45.3
6	45.82
7	40.55
8	32.08
9	30.4
10	40.63
11	23.09
12	28.23
13	33.56
14	29.23
15	55.04
16	56.62
17	50.77
18	52.8
19	52.04
20	60.46
21	38.15
22	36.36
23	25.49
24	38.06
25	37.48
26	50.04
27	30.4
28	42.65
29	44.2
30	57.89
31	61.88
32	77.81
33	57.44
34	55.1
35	67.27
36	53.08
37	62.6
38	58.68
39	78.5
40	46.01
41	61.16
42	57.02
43	61.06
44	49.37
45	61.72
46	65.8
47	62.88
